"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\user\UserCard.vue", "Vue", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\composables\useBranchSwitcher.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 1, 193
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\_checkbox-radio-switch.css", "CSS", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\_progress.css", "CSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\_scrollbars.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 9, 42
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\_table.css", "CSS", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 11, 50
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\styles\_basic.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\styles\_white.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\tailwind\_base.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\tailwind\_components.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\css\tailwind\_utilities.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
